Сценарий;Материал;Пролет;Длина;Высота;Шаг_рам;Террен;w0;Sg;Му2;N_total;N_snow;N_wind;N_roof;Длина_ската;Группа;Профиль;Шаг_мм;K_max;Лимит;Масса_кг
С4: Сортовой, across-занос, квадр.труба;rolled;18;36;6;6;B;0.48;2.4;2.0833333333333335;8.5916;8.2458;0.1368;0.2090;8.85;С245 square_tube;кв.200х5;1110;0.8044;прочность;20588.40
С4: Сортовой, across-занос, квадр.труба;rolled;18;36;6;6;B;0.48;2.4;2.0833333333333335;8.5916;8.2458;0.1368;0.2090;8.85;С245 rect_tube;пр.200х160х6;1110;0.8056;прочность;22230.00
С4: Сортовой, across-занос, квадр.труба;rolled;18;36;6;6;B;0.48;2.4;2.0833333333333335;8.5916;8.2458;0.1368;0.2090;8.85;С345 beam_normal;— нет решения —;;;;
С4: Сортовой, across-занос, квадр.труба;rolled;18;36;6;6;B;0.48;2.4;2.0833333333333335;8.5916;8.2458;0.1368;0.2090;8.85;С345 beam_wide;— нет решения —;;;;
С4: Сортовой, across-занос, квадр.труба;rolled;18;36;6;6;B;0.48;2.4;2.0833333333333335;8.5916;8.2458;0.1368;0.2090;8.85;С345 beam_column;— нет решения —;;;;
С4: Сортовой, across-занос, квадр.труба;rolled;18;36;6;6;B;0.48;2.4;2.0833333333333335;8.5916;8.2458;0.1368;0.2090;8.85;С345 square_tube;кв.200х5;1475;0.7491;прочность;16254.00
С4: Сортовой, across-занос, квадр.труба;rolled;18;36;6;6;B;0.48;2.4;2.0833333333333335;8.5916;8.2458;0.1368;0.2090;8.85;С345 rect_tube;пр.200х120х4;1110;0.8318;прочность;14911.20
С8: Сортовой, террен C, широкий 30м, жёсткая проверка;rolled;30;60;5;6;C;0.4;0.5;1;1.0436;0.8234;0.1062;0.1140;14.85;С255Б beam_normal;35 Б2;1485;0.8439;гибкость;59520.00
С8: Сортовой, террен C, широкий 30м, жёсткая проверка;rolled;30;60;5;6;C;0.4;0.5;1;1.0436;0.8234;0.1062;0.1140;14.85;С255Б beam_wide;25 Ш1;1485;0.7974;гибкость;52920.00
С8: Сортовой, террен C, широкий 30м, жёсткая проверка;rolled;30;60;5;6;C;0.4;0.5;1;1.0436;0.8234;0.1062;0.1140;14.85;С255Б beam_column;20 К1;1485;0.6680;гибкость;49680.00
С8: Сортовой, террен C, широкий 30м, жёсткая проверка;rolled;30;60;5;6;C;0.4;0.5;1;1.0436;0.8234;0.1062;0.1140;14.85;С255Б square_tube;— нет решения —;;;;
С8: Сортовой, террен C, широкий 30м, жёсткая проверка;rolled;30;60;5;6;C;0.4;0.5;1;1.0436;0.8234;0.1062;0.1140;14.85;С255Б rect_tube;— нет решения —;;;;
С8: Сортовой, террен C, широкий 30м, жёсткая проверка;rolled;30;60;5;6;C;0.4;0.5;1;1.0436;0.8234;0.1062;0.1140;14.85;С355Б beam_normal;35 Б2;1485;0.8439;гибкость;59520.00
С8: Сортовой, террен C, широкий 30м, жёсткая проверка;rolled;30;60;5;6;C;0.4;0.5;1;1.0436;0.8234;0.1062;0.1140;14.85;С355Б beam_wide;25 Ш1;1485;0.7974;гибкость;52920.00
С8: Сортовой, террен C, широкий 30м, жёсткая проверка;rolled;30;60;5;6;C;0.4;0.5;1;1.0436;0.8234;0.1062;0.1140;14.85;С355Б beam_column;20 К1;1485;0.6680;гибкость;49680.00
С8: Сортовой, террен C, широкий 30м, жёсткая проверка;rolled;30;60;5;6;C;0.4;0.5;1;1.0436;0.8234;0.1062;0.1140;14.85;С355Б square_tube;— нет решения —;;;;
С8: Сортовой, террен C, широкий 30м, жёсткая проверка;rolled;30;60;5;6;C;0.4;0.5;1;1.0436;0.8234;0.1062;0.1140;14.85;С355Б rect_tube;— нет решения —;;;;
С8: Сортовой, террен C, широкий 30м, жёсткая проверка;rolled;30;60;5;6;C;0.4;0.5;1;1.0436;0.8234;0.1062;0.1140;14.85;С245 beam_normal;— нет решения —;;;;
С8: Сортовой, террен C, широкий 30м, жёсткая проверка;rolled;30;60;5;6;C;0.4;0.5;1;1.0436;0.8234;0.1062;0.1140;14.85;С245 beam_wide;— нет решения —;;;;
С8: Сортовой, террен C, широкий 30м, жёсткая проверка;rolled;30;60;5;6;C;0.4;0.5;1;1.0436;0.8234;0.1062;0.1140;14.85;С245 beam_column;— нет решения —;;;;
С8: Сортовой, террен C, широкий 30м, жёсткая проверка;rolled;30;60;5;6;C;0.4;0.5;1;1.0436;0.8234;0.1062;0.1140;14.85;С245 square_tube;кв.100х3;1350;0.8460;гибкость;12012.00
С8: Сортовой, террен C, широкий 30м, жёсткая проверка;rolled;30;60;5;6;C;0.4;0.5;1;1.0436;0.8234;0.1062;0.1140;14.85;С245 rect_tube;пр.140х100х3;1485;0.8130;гибкость;13320.00
С8: Сортовой, террен C, широкий 30м, жёсткая проверка;rolled;30;60;5;6;C;0.4;0.5;1;1.0436;0.8234;0.1062;0.1140;14.85;С345 beam_normal;— нет решения —;;;;
С8: Сортовой, террен C, широкий 30м, жёсткая проверка;rolled;30;60;5;6;C;0.4;0.5;1;1.0436;0.8234;0.1062;0.1140;14.85;С345 beam_wide;— нет решения —;;;;
С8: Сортовой, террен C, широкий 30м, жёсткая проверка;rolled;30;60;5;6;C;0.4;0.5;1;1.0436;0.8234;0.1062;0.1140;14.85;С345 beam_column;— нет решения —;;;;
С8: Сортовой, террен C, широкий 30м, жёсткая проверка;rolled;30;60;5;6;C;0.4;0.5;1;1.0436;0.8234;0.1062;0.1140;14.85;С345 square_tube;кв.100х3;1485;0.8460;гибкость;10920.00
С8: Сортовой, террен C, широкий 30м, жёсткая проверка;rolled;30;60;5;6;C;0.4;0.5;1;1.0436;0.8234;0.1062;0.1140;14.85;С345 rect_tube;пр.140х100х3;1485;0.8130;гибкость;13320.00
С9: Сортовой, односкат 12м, сильный снег+ветер;rolled;12;36;5;6;B;0.48;2.4;1.6666666666666667;6.8809;6.5765;0.1333;0.1710;11.70;С255Б beam_normal;35 Б2;1465;0.8439;гибкость;14284.80
С9: Сортовой, односкат 12м, сильный снег+ветер;rolled;12;36;5;6;B;0.48;2.4;1.6666666666666667;6.8809;6.5765;0.1333;0.1710;11.70;С255Б beam_wide;25 Ш1;1465;0.7974;гибкость;12700.80
С9: Сортовой, односкат 12м, сильный снег+ветер;rolled;12;36;5;6;B;0.48;2.4;1.6666666666666667;6.8809;6.5765;0.1333;0.1710;11.70;С255Б beam_column;20 К1;1465;0.6680;гибкость;11923.20
С9: Сортовой, односкат 12м, сильный снег+ветер;rolled;12;36;5;6;B;0.48;2.4;1.6666666666666667;6.8809;6.5765;0.1333;0.1710;11.70;С255Б square_tube;— нет решения —;;;;
С9: Сортовой, односкат 12м, сильный снег+ветер;rolled;12;36;5;6;B;0.48;2.4;1.6666666666666667;6.8809;6.5765;0.1333;0.1710;11.70;С255Б rect_tube;— нет решения —;;;;
С9: Сортовой, односкат 12м, сильный снег+ветер;rolled;12;36;5;6;B;0.48;2.4;1.6666666666666667;6.8809;6.5765;0.1333;0.1710;11.70;С355Б beam_normal;35 Б2;1465;0.8439;гибкость;14284.80
С9: Сортовой, односкат 12м, сильный снег+ветер;rolled;12;36;5;6;B;0.48;2.4;1.6666666666666667;6.8809;6.5765;0.1333;0.1710;11.70;С355Б beam_wide;25 Ш1;1465;0.7974;гибкость;12700.80
С9: Сортовой, односкат 12м, сильный снег+ветер;rolled;12;36;5;6;B;0.48;2.4;1.6666666666666667;6.8809;6.5765;0.1333;0.1710;11.70;С355Б beam_column;20 К1;1465;0.6680;гибкость;11923.20
С9: Сортовой, односкат 12м, сильный снег+ветер;rolled;12;36;5;6;B;0.48;2.4;1.6666666666666667;6.8809;6.5765;0.1333;0.1710;11.70;С355Б square_tube;— нет решения —;;;;
С9: Сортовой, односкат 12м, сильный снег+ветер;rolled;12;36;5;6;B;0.48;2.4;1.6666666666666667;6.8809;6.5765;0.1333;0.1710;11.70;С355Б rect_tube;— нет решения —;;;;
С9: Сортовой, односкат 12м, сильный снег+ветер;rolled;12;36;5;6;B;0.48;2.4;1.6666666666666667;6.8809;6.5765;0.1333;0.1710;11.70;С245 beam_normal;— нет решения —;;;;
С9: Сортовой, односкат 12м, сильный снег+ветер;rolled;12;36;5;6;B;0.48;2.4;1.6666666666666667;6.8809;6.5765;0.1333;0.1710;11.70;С245 beam_wide;— нет решения —;;;;
С9: Сортовой, односкат 12м, сильный снег+ветер;rolled;12;36;5;6;B;0.48;2.4;1.6666666666666667;6.8809;6.5765;0.1333;0.1710;11.70;С245 beam_column;— нет решения —;;;;
С9: Сортовой, односкат 12м, сильный снег+ветер;rolled;12;36;5;6;B;0.48;2.4;1.6666666666666667;6.8809;6.5765;0.1333;0.1710;11.70;С245 square_tube;кв.200х5;1465;0.8490;прочность;8668.80
С9: Сортовой, односкат 12м, сильный снег+ветер;rolled;12;36;5;6;B;0.48;2.4;1.6666666666666667;6.8809;6.5765;0.1333;0.1710;11.70;С245 rect_tube;пр.200х160х5;1170;0.8039;прочность;9792.00
С9: Сортовой, односкат 12м, сильный снег+ветер;rolled;12;36;5;6;B;0.48;2.4;1.6666666666666667;6.8809;6.5765;0.1333;0.1710;11.70;С345 beam_normal;— нет решения —;;;;
С9: Сортовой, односкат 12м, сильный снег+ветер;rolled;12;36;5;6;B;0.48;2.4;1.6666666666666667;6.8809;6.5765;0.1333;0.1710;11.70;С345 beam_wide;— нет решения —;;;;
С9: Сортовой, односкат 12м, сильный снег+ветер;rolled;12;36;5;6;B;0.48;2.4;1.6666666666666667;6.8809;6.5765;0.1333;0.1710;11.70;С345 beam_column;— нет решения —;;;;
С9: Сортовой, односкат 12м, сильный снег+ветер;rolled;12;36;5;6;B;0.48;2.4;1.6666666666666667;6.8809;6.5765;0.1333;0.1710;11.70;С345 square_tube;кв.160х4;1065;0.8461;прочность;7682.40
С9: Сортовой, односкат 12м, сильный снег+ветер;rolled;12;36;5;6;B;0.48;2.4;1.6666666666666667;6.8809;6.5765;0.1333;0.1710;11.70;С345 rect_tube;пр.200х120х4;1300;0.7813;прочность;7063.20
С10: Сортовой, across с existingSize 5м;rolled;24;72;8;6;B;0.3;2;3;10.1159;9.8814;0.0920;0.1425;11.85;С255Б beam_normal;35 Б2;1485;0.8439;гибкость;57139.20
С10: Сортовой, across с existingSize 5м;rolled;24;72;8;6;B;0.3;2;3;10.1159;9.8814;0.0920;0.1425;11.85;С255Б beam_wide;25 Ш1;1485;0.7974;гибкость;50803.20
С10: Сортовой, across с existingSize 5м;rolled;24;72;8;6;B;0.3;2;3;10.1159;9.8814;0.0920;0.1425;11.85;С255Б beam_column;20 К1;1485;0.7478;прочность;47692.80
С10: Сортовой, across с existingSize 5м;rolled;24;72;8;6;B;0.3;2;3;10.1159;9.8814;0.0920;0.1425;11.85;С255Б square_tube;— нет решения —;;;;
С10: Сортовой, across с existingSize 5м;rolled;24;72;8;6;B;0.3;2;3;10.1159;9.8814;0.0920;0.1425;11.85;С255Б rect_tube;— нет решения —;;;;
С10: Сортовой, across с existingSize 5м;rolled;24;72;8;6;B;0.3;2;3;10.1159;9.8814;0.0920;0.1425;11.85;С355Б beam_normal;35 Б2;1485;0.8439;гибкость;57139.20
С10: Сортовой, across с existingSize 5м;rolled;24;72;8;6;B;0.3;2;3;10.1159;9.8814;0.0920;0.1425;11.85;С355Б beam_wide;25 Ш1;1485;0.7974;гибкость;50803.20
С10: Сортовой, across с existingSize 5м;rolled;24;72;8;6;B;0.3;2;3;10.1159;9.8814;0.0920;0.1425;11.85;С355Б beam_column;20 К1;1485;0.6680;гибкость;47692.80
С10: Сортовой, across с existingSize 5м;rolled;24;72;8;6;B;0.3;2;3;10.1159;9.8814;0.0920;0.1425;11.85;С355Б square_tube;— нет решения —;;;;
С10: Сортовой, across с existingSize 5м;rolled;24;72;8;6;B;0.3;2;3;10.1159;9.8814;0.0920;0.1425;11.85;С355Б rect_tube;— нет решения —;;;;
С10: Сортовой, across с existingSize 5м;rolled;24;72;8;6;B;0.3;2;3;10.1159;9.8814;0.0920;0.1425;11.85;С245 beam_normal;— нет решения —;;;;
С10: Сортовой, across с existingSize 5м;rolled;24;72;8;6;B;0.3;2;3;10.1159;9.8814;0.0920;0.1425;11.85;С245 beam_wide;— нет решения —;;;;
С10: Сортовой, across с existingSize 5м;rolled;24;72;8;6;B;0.3;2;3;10.1159;9.8814;0.0920;0.1425;11.85;С245 beam_column;— нет решения —;;;;
С10: Сортовой, across с existingSize 5м;rolled;24;72;8;6;B;0.3;2;3;10.1159;9.8814;0.0920;0.1425;11.85;С245 square_tube;кв.200х7;1320;0.8374;прочность;53654.40
С10: Сортовой, across с existingSize 5м;rolled;24;72;8;6;B;0.3;2;3;10.1159;9.8814;0.0920;0.1425;11.85;С245 rect_tube;пр.200х160х7;1080;0.8049;прочность;59875.20
С10: Сортовой, across с existingSize 5м;rolled;24;72;8;6;B;0.3;2;3;10.1159;9.8814;0.0920;0.1425;11.85;С345 beam_normal;— нет решения —;;;;
С10: Сортовой, across с existingSize 5м;rolled;24;72;8;6;B;0.3;2;3;10.1159;9.8814;0.0920;0.1425;11.85;С345 beam_wide;— нет решения —;;;;
С10: Сортовой, across с existingSize 5м;rolled;24;72;8;6;B;0.3;2;3;10.1159;9.8814;0.0920;0.1425;11.85;С345 beam_column;— нет решения —;;;;
С10: Сортовой, across с existingSize 5м;rolled;24;72;8;6;B;0.3;2;3;10.1159;9.8814;0.0920;0.1425;11.85;С345 square_tube;кв.200х5;1320;0.7884;прочность;39009.60
С10: Сортовой, across с existingSize 5м;rolled;24;72;8;6;B;0.3;2;3;10.1159;9.8814;0.0920;0.1425;11.85;С345 rect_tube;пр.200х160х5;1185;0.8363;прочность;39168.00
